#With sigmoid to all the data:
modelName & acc& ROC_AUC & PR_AUC & F1_score & time_used
BernoulliNB & 0.976 & 0.500 & 0.024 & 0.494 & 0.171 
GaussianNB & 0.457 & 0.676 & 0.037 & 0.345 & 2.281 
SVM & 0.976 & 0.500 & 0.024 & 0.494 & 3.850 
DecisionTree & 0.965 & 0.647 & 0.106 & 0.640 & 0.916 
SGD & 0.976 & 0.500 & 0.024 & 0.494 & 0.091 
Nearest_Neighbors & 0.723 & 0.675 & 0.042 & 0.467 & 0.857 
AdaBoost & 0.975 & 0.556 & 0.074 & 0.585 & 14.013 
GradientBoosting & 0.977 & 0.556 & 0.091 & 0.591 & 7.699 
HistGradientBoosting & 0.980 & 0.624 & 0.200 & 0.681 & 424.488 
MLP & 0.977 & 0.623 & 0.158 & 0.667 & 13921.868 

#With-out sigmoid to all the data:
modelName & acc & ROC_AUC & PR_AUC & F1_score & time_used
BernoulliNB & 0.807 & 0.662 & 0.044 & 0.502 & 0.120 
GaussianNB & 0.082 & 0.525 & 0.025 & 0.081 & 2.017 
SVM & 0.976 & 0.500 & 0.024 & 0.494 & 3.779 
DecisionTree & 0.964 & 0.656 & 0.111 & 0.645 & 1.084 
SGD & 0.850 & 0.542 & 0.027 & 0.492 & 0.073 
Nearest_Neighbors & 0.629 & 0.582 & 0.029 & 0.417 & 0.728 
AdaBoost & 0.978 & 0.582 & 0.131 & 0.628 & 15.569 
GradientBoosting & 0.978 & 0.588 & 0.145 & 0.636 & 8.960 
HistGradientBoosting & 0.980 & 0.614 & 0.205 & 0.674 & 511.105 
MLP & 0.976 & 0.510 & 0.034 & 0.514 & 695.784 

#With-out sigmoid to all the data& pca-dim= 32
modelName & acc & ROC_AUC & PR_AUC & F1_score & time_used
BernoulliNB & 0.945 & 0.566 & 0.037 & 0.550 & 3.207 
GaussianNB & 0.073 & 0.520 & 0.025 & 0.073 & 0.142 
SVM & 0.976 & 0.500 & 0.024 & 0.494 & 1.856 
DecisionTree & 0.961 & 0.594 & 0.060 & 0.591 & 0.474 
SGD & 0.456 & 0.493 & 0.024 & 0.332 & 0.050 
Nearest_Neighbors & 0.629 & 0.582 & 0.029 & 0.417 & 0.307 
AdaBoost & 0.976 & 0.530 & 0.054 & 0.549 & 10.551 
GradientBoosting & 0.975 & 0.515 & 0.033 & 0.522 & 4.807 
HistGradientBoosting & 0.977 & 0.572 & 0.113 & 0.613 & 908.367 
MLP & 0.976 & 0.500 & 0.024 & 0.494 & 340.196 

#With-out sigmoid to all the data& pca-dim= 48
modelName & acc & ROC_AUC & PR_AUC & F1_score & time_used
BernoulliNB & 0.897 & 0.627 & 0.046 & 0.542 & 4.152 
GaussianNB & 0.073 & 0.520 & 0.025 & 0.073 & 2.021 
SVM & 0.976 & 0.500 & 0.024 & 0.494 & 4.149 
